,start_date,end_date,return_strat,max_drawdown,ret_ann,profit_factor,vol_ann,is_sharpe_ratio,oos_sharpe_ratio,return_bh,WFE,period,atr_factor,ticker
0,2023-07-02,2023-12-29,-0.4406196827339736,-0.4427838768410241,-0.7541588808620103,0.0,0.3449142814264549,3.3134938049488034,0.0,-0.3585694726984303,0.0,47,3.500000000000002,HKD=X
1,2024-01-01,2024-06-30,-0.1449429525518208,-0.1679007868809034,-0.2535122822896363,0.0,0.2601090428603819,2.317513600596774,0.0,-0.0007694270717785,0.0,48,4.000000000000003,HKD=X
2,2024-07-01,2024-11-29,0.0,-0.0,0.0,,0.0,1.214480974797291,,-0.3432133265257357,,49,4.100000000000003,HKD=X
0,2023-07-02,2023-12-29,-3.246876089999336,-10.585413800557877,-5.501327487109798,0.7780692869403721,6.391921994371989,0.4109799559175277,0.0,3.0655410743705187,0.0,8,2.000000000000001,NZDUSD=X
1,2024-01-01,2024-06-30,-0.2732164968885044,-3.628948677472299,-0.4776388853206748,0.8666564488139874,3.430430221369242,0.6789705035408128,0.0,-3.581010579990904,0.0,16,3.300000000000002,NZDUSD=X
2,2024-07-01,2024-11-29,-6.4717109673946975,-8.829322461135082,-12.524591506333383,0.0,4.841713428610372,0.3719674724696974,0.0,-2.774157811082123,0.0,7,3.0000000000000018,NZDUSD=X
0,2023-07-03,2023-12-29,-3.0154122198481343,-3.7174730976002546,-5.476286014469256,0.7203808578931392,4.920354174141806,1.639945165241227,0.0,-1.6361447600445014,0.0,40,2.5000000000000013,KRW=X
1,2024-01-01,2024-06-28,-3.7986200810544974,-4.23107451416006,-7.178950752710267,0.4219614952077473,3.275141673281966,1.2529668119629842,0.0,7.214622502454581,0.0,43,2.8000000000000016,KRW=X
2,2024-07-01,2024-11-29,-2.757986595092385,-3.5495062395015653,-6.098750699185429,0.5931371637444727,4.088750954874889,0.5457117102064901,0.0,0.9577156775617502,0.0,44,2.6000000000000014,KRW=X
0,2023-07-02,2023-12-29,-3.676823443375717,-4.190261405431461,-6.220063006204968,0.4561791875646467,3.468111561063884,0.4399858898679986,0.0,-0.0279270951664352,0.0,48,2.9000000000000017,CAD=X
1,2024-01-01,2024-06-30,-5.6280504163671,-6.254908898180178,-9.640228860903344,0.2887059811418412,2.671068987091511,0.2355192459573727,0.0,3.2389646351165107,0.0,47,2.7000000000000015,CAD=X
2,2024-07-01,2024-11-29,0.0,-0.0,0.0,,0.0,0.8044005317946202,,2.399459692206939,,8,3.500000000000002,CAD=X
0,2023-07-03,2023-12-29,-1.4413352956158925,-1.8954247056612528,-2.635164600745532,0.4101598028367474,1.7221486885124957,1.438977265220429,0.0,1.409513291438983,0.0,5,6.900000000000006,INR=X
1,2024-01-01,2024-06-28,0.0,-0.0,0.0,,0.0,0.5600864322222391,,0.1508320104586641,,33,3.8000000000000025,INR=X
2,2024-07-01,2024-11-29,0.260140418304567,-0.340215871687699,0.5759528371665823,1.722371054573594,0.9441471716166916,0.5926785356669099,0.6100244267854564,1.4107008110058477,1.0292669467083504,5,3.9000000000000026,INR=X
0,2023-07-02,2023-12-29,-36.55375166523688,-36.571061369063784,-54.15760095082376,0.4130615470901289,3.8940066825545334,2.291821382058311,0.0,-2.8851533067587978,0.0,16,1.3000000000000005,ZAR=X
1,2024-01-01,2024-06-30,-14.584696917965308,-15.851498480842984,-23.092296272653645,0.5542270060616167,5.363279618937694,1.321812509962626,0.0,-1.2673474289050402,0.0,11,1.8000000000000007,ZAR=X
2,2024-07-01,2024-11-29,-6.755171854154075,-9.535331031877714,-13.054020240517294,0.4772810337862367,6.795175572938845,0.9545203747185708,0.0,0.08917059514849,0.0,47,2.4000000000000012,ZAR=X
0,2023-07-02,2023-12-29,-1.3376015901081992,-2.714191045666814,-2.282063131296297,0.6362946050503436,2.6133886720431656,0.950868061284742,0.0,-2.473828883520816,0.0,13,2.7000000000000015,SGD=X
1,2024-01-01,2024-06-30,-0.8468080331241363,-1.801453446584833,-1.4772048656100711,0.5463802163537091,2.6419212227739157,0.8042802865851874,0.0,2.729893588246548,0.0,48,3.400000000000002,SGD=X
2,2024-07-01,2024-11-29,0.2698151161283167,-3.330059217418413,0.5403582342243141,1.1161528746995637,4.343029458275528,0.6228068734186544,0.1244196566971646,-1.211692560503256,0.1997724527576448,40,3.200000000000002,SGD=X
0,2023-07-03,2023-12-29,-5.087572263029201,-5.154438793447591,-9.157785366884683,0.0,2.957441437688534,3.1526407366458566,0.0,-2.121057623505597,0.0,11,7.000000000000005,CNY=X
1,2024-01-01,2024-06-28,0.65771882483628,-0.5767365177492656,1.2690726715433032,4.626968625575676,1.3755061136657984,1.7113380140127843,0.9226223416493262,2.386819453246706,0.5391233842144021,14,3.9000000000000026,CNY=X
2,2024-07-01,2024-11-29,-2.655203656077254,-4.624603099916335,-5.875286575321892,0.4283539835875486,3.4147217282909974,1.9168787211737437,0.0,-0.3467781242052167,0.0,7,7.300000000000006,CNY=X
0,2023-07-02,2023-12-29,-20.24098520529436,-20.24909600794481,-32.13865213167345,0.2659841473350774,3.3393898341707113,1.4895620020845803,0.0,0.3017555688801012,0.0,13,1.7000000000000006,GBPUSD=X
1,2024-01-01,2024-06-30,-0.5857870914445666,-4.118006233340088,-1.022874409717056,0.0,4.49067696517731,0.8154992414743124,0.0,-0.518612571676512,0.0,10,3.300000000000002,GBPUSD=X
2,2024-07-01,2024-11-29,-5.198012087750278,-5.489572646290064,-10.12583087885771,0.0,3.8000741672535296,0.8965251822589095,0.0,0.6763714530071889,0.0,10,2.9000000000000017,GBPUSD=X
0,2023-07-02,2023-12-29,-41.43853565135801,-41.460837373427616,-60.04046297887238,0.1100903192384231,1.9797396410885784,0.2097539857587346,0.0,-6.0434072078747185,0.0,7,1.1,CHF=X
1,2024-01-01,2024-06-30,-0.4345845747114654,-2.7965474278989433,-0.7592831378982035,0.7491687945811178,3.1173448045614607,0.9758539819955616,0.0,7.198472463350135,0.0,36,4.000000000000003,CHF=X
2,2024-07-01,2024-11-29,-0.8519056883419689,-3.686065133549421,-1.6965539436643362,0.7359298880490333,4.314408849049024,0.6462191286325143,0.0,-2.14114079629639,0.0,35,4.000000000000003,CHF=X
0,2023-07-02,2023-12-29,-15.666966180501507,-16.910107208743185,-25.33123719917564,0.4832984098606234,4.854866077092581,1.6407025278583658,0.0,2.2961092878433265,0.0,11,1.8000000000000007,AUDUSD=X
1,2024-01-01,2024-06-30,0.0,-0.0,0.0,,0.0,1.5168659918581922,,-2.046241622639294,,33,4.900000000000004,AUDUSD=X
2,2024-07-01,2024-11-29,0.0,-0.0,0.0,,0.0,0.4039040135461768,,-2.332093211878821,,25,4.3000000000000025,AUDUSD=X
0,2023-07-02,2023-12-29,0.4463447978868062,-6.520966935123029,0.7663817297164366,1.087309131073267,4.708436163613779,0.9683101809931068,0.1627677859665893,1.181279364413775,0.1680946758193262,22,3.200000000000002,EURUSD=X
1,2024-01-01,2024-06-30,0.0,-0.0,0.0,,0.0,1.1668216684815018,,-2.8776930322749825,,6,9.200000000000006,EURUSD=X
2,2024-07-01,2024-11-29,-3.864358526625554,-6.570849777931942,-7.579384385027721,0.4020939073796259,4.675019897617901,0.5671727933727274,0.0,-1.5553900004336672,0.0,8,2.300000000000001,EURUSD=X
0,2023-07-03,2023-12-29,-15.43655776076464,-21.640336173270818,-26.53870115598137,0.4388247145976413,8.816604553334253,2.2130320229478713,0.0,0.6204897005754866,0.0,28,2.300000000000001,RUB=X
1,2024-01-01,2024-06-28,-8.718938757621626,-15.594184230782616,-15.983783999676485,0.2690215426504651,12.840224356580164,1.5344947981787738,0.0,-4.061285853271006,0.0,8,3.100000000000002,RUB=X
2,2024-07-01,2024-11-29,16.350012638901028,-6.17215887909145,39.35234280680768,3.9002048517685326,26.190369098606432,0.90152282401181,1.5025501419489955,23.512632573850535,1.6666800905412378,8,3.400000000000002,RUB=X
0,2023-07-02,2023-12-29,-6.737818053832889,-9.273821141814532,-11.270773672325207,0.3970436425674946,5.245308316110913,2.1669448183417783,0.0,-2.3650461884942,0.0,5,2.100000000000001,JPY=X
1,2024-01-01,2024-06-30,0.9762772151797108,-3.702943615669996,1.7147348849419377,1.3457904355710226,4.882193802828721,1.7365401510445564,0.3512222075142588,14.251126951426176,0.2022540091013692,46,3.300000000000002,JPY=X
2,2024-07-01,2024-11-29,-8.05143653819176,-8.868559476959781,-15.28110425138096,0.6078303787721736,6.458291143563052,1.9006636366891412,0.0,-6.991337602969693,0.0,11,1.8000000000000007,JPY=X
